PERIOD,"Inflation rate (2012=100), all items","FOREX: USD to PHP, average"
01/01/1980,18.70397644,7.416657895
02/01/1980,22.53313697,7.417857143
03/01/1980,22.28654124,7.425857143
04/01/1980,19.27374302,7.443425
05/01/1980,18.05745554,7.50945
06/01/1980,16.95827725,7.520894737
07/01/1980,16.35883905,7.543204545
08/01/1980,15.67357513,7.556238095
09/01/1980,15.34526854,7.562190476
10/01/1980,15.44303797,7.566863636
11/01/1980,15.6641604,7.5802
12/01/1980,15.32756489,7.594210526
01/01/1981,16.62531017,7.632333333
02/01/1981,12.98076923,7.668025
03/01/1981,11.24260355,7.730295455
04/01/1981,11.2412178,7.790416667
05/01/1981,10.0811124,7.850368421
06/01/1981,10.47180667,7.934944444
07/01/1981,12.24489796,7.949130435
08/01/1981,10.86226204,7.951619048
09/01/1981,9.756097561,7.991977273
10/01/1981,9.649122807,8.064136364
11/01/1981,9.425785482,8.100894737
12/01/1981,9.324758842,8.1312
01/01/1982,10.63829787,8.25425
02/01/1982,10.63829787,8.28305
03/01/1982,10.63829787,8.340521739
04/01/1982,10.52631579,8.37915
05/01/1982,11.57894737,8.416285714
06/01/1982,11.45833333,8.450909091
07/01/1982,10.1010101,8.487840909
08/01/1982,10.1010101,8.529318182
09/01/1982,10.1010101,8.637954545
10/01/1982,9,8.766428571
11/01/1982,8.910891089,8.8752
12/01/1982,6.862745098,9.059380952
01/01/1983,5.769230769,9.28647619
02/01/1983,6.730769231,9.46435
03/01/1983,6.730769231,9.605727273
04/01/1983,6.666666667,9.8693
05/01/1983,5.660377358,10.03157143
06/01/1983,6.542056075,10.38456818
07/01/1983,7.339449541,11.00166
08/01/1983,8.256880734,11.00163043
09/01/1983,9.174311927,11.00175
10/01/1983,10.09174312,13.7016
11/01/1983,16.36363636,14.002
12/01/1983,27.52293578,14.002
01/01/1984,33.63636364,14.002
02/01/1984,36.93693694,14.002
03/01/1984,38.73873874,14.002
04/01/1984,40.17857143,14.002
05/01/1984,41.96428571,14.002
