quarter,PERIOD,Gross Domestic Product (constant 2018 prices)
,01/01/1980,
,04/01/1980,
,07/01/1980,
,10/01/1980,
1Q1981,01/01/1981,1112090.524
2Q1981,04/01/1981,1149293.631
3Q1981,07/01/1981,1066823.185
4Q1981,10/01/1981,1211222.769
1Q1982,01/01/1982,1145677.861
2Q1982,04/01/1982,1192681.318
3Q1982,07/01/1982,1090627.34
4Q1982,10/01/1982,1278330.15
1Q1983,01/01/1983,1187379.645
2Q1983,04/01/1983,1259286.784
3Q1983,07/01/1983,1112069.781
4Q1983,10/01/1983,1237875.987
1Q1984,01/01/1984,1135091.917
2Q1984,04/01/1984,1183670.267
3Q1984,07/01/1984,992844.665
4Q1984,10/01/1984,1147353.675
1Q1985,01/01/1985,1016182.621
2Q1985,04/01/1985,1072520.405
3Q1985,07/01/1985,941279.9425
4Q1985,10/01/1985,1123165.222
1Q1986,01/01/1986,1016812.023
2Q1986,04/01/1986,1102845.632
3Q1986,07/01/1986,1014292.192
4Q1986,10/01/1986,1165002.254
1Q1987,01/01/1987,1049992.814
2Q1987,04/01/1987,1144410.404
3Q1987,07/01/1987,1080960.033
4Q1987,10/01/1987,1211100.96
1Q1988,01/01/1988,1110898.999
2Q1988,04/01/1988,1171082.478
3Q1988,07/01/1988,1148588.131
4Q1988,10/01/1988,1356350.02
1Q1989,01/01/1989,1182521.98
2Q1989,04/01/1989,1233224.959
3Q1989,07/01/1989,1211700.242
4Q1989,10/01/1989,1455491.641
1Q1990,01/01/1990,1243019.24
2Q1990,04/01/1990,1276754.837
3Q1990,07/01/1990,1257010.371
4Q1990,10/01/1990,1462844.732
1Q1991,01/01/1991,1244652.417
2Q1991,04/01/1991,1262124.778
3Q1991,07/01/1991,1233097.822
4Q1991,10/01/1991,1476888.942
1Q1992,01/01/1992,1271890.911
2Q1992,04/01/1992,1259193.144
3Q1992,07/01/1992,1237813.31
4Q1992,10/01/1992,1469653.315
1Q1993,01/01/1993,1283261.205
2Q1993,04/01/1993,1291695.47
3Q1993,07/01/1993,1270449.961
4Q1993,10/01/1993,1507443.458
1Q1994,01/01/1994,1328938.788
2Q1994,04/01/1994,1352499.401
3Q1994,07/01/1994,1336680.995
4Q1994,10/01/1994,1568846.689
1Q1995,01/01/1995,1392448.474
2Q1995,04/01/1995,1409521.454
